fsr_strength,fr_a,fr_b,first_contact_tick,survivors_A,survivors_B,persistent_unit_count,absorbing_ratio,reversible_ratio,metastable_ratio,isolation_ratio,blockage_ratio,cum_delta_move_norm,cum_delta_fsr_norm,cum_delta_projection_norm,mechanism_label
0.0,3.0,1.0,102,20,24,1,1.0,0.0,0.0,0.8076666666666666,0.06533333333333333,7.000000000000028,0.0,1.9707600119143445,persistent_isolation_absorbing
0.0,3.0,2.0,102,21,22,1,1.0,0.0,0.0,0.7726666666666666,0.09133333333333334,6.999999999999992,0.0,0.0,persistent_isolation_absorbing
0.0,3.0,3.0,103,21,23,4,0.25,0.75,0.0,0.681,0.11616666666666667,27.999999999999982,0.0,7.03727735226331,reversible_or_mixed
0.0,4.0,1.0,102,17,28,1,1.0,0.0,0.0,0.7405,0.08883333333333333,6.999999999999991,0.0,0.0,persistent_isolation_absorbing
0.0,4.0,2.0,102,19,25,3,0.3333333333333333,0.6666666666666666,0.0,0.695,0.1055,21.000000000000007,0.0,2.679831218940511,reversible_or_mixed
0.0,4.0,3.0,102,22,23,4,1.0,0.0,0.0,0.6241666666666666,0.13383333333333333,27.999999999999993,0.0,6.7651547153207545,persistent_isolation_absorbing
0.0,5.0,1.0,103,18,25,1,1.0,0.0,0.0,0.6891666666666667,0.09883333333333333,6.999999999999995,0.0,0.0,persistent_isolation_absorbing
0.0,5.0,2.0,102,19,24,2,1.0,0.0,0.0,0.636,0.12633333333333333,13.999999999999982,0.0,0.00834772488640562,persistent_isolation_absorbing
0.0,5.0,3.0,103,22,23,5,0.6,0.4,0.0,0.5771666666666667,0.15616666666666668,35.00000000000003,0.0,8.607049996503786,persistent_isolation_absorbing
0.1,3.0,1.0,101,17,26,4,0.5,0.5,0.0,0.7545,0.067,28.000000000000007,1.9405926223557834,5.623621156939788,persistent_isolation_absorbing
0.1,3.0,2.0,99,20,22,5,0.2,0.8,0.0,0.7736666666666666,0.050166666666666665,35.00000000000002,1.7671656137300387,5.925742972751634,reversible_or_mixed
0.1,3.0,3.0,98,21,21,8,0.5,0.5,0.0,0.7528333333333334,0.05366666666666667,55.99999999999998,2.491509359310611,8.930805162049936,persistent_isolation_absorbing
0.1,4.0,1.0,99,13,30,7,0.8571428571428571,0.14285714285714285,0.0,0.719,0.0745,49.00000000000002,4.5691673838419264,4.293723521758795,persistent_isolation_absorbing
0.1,4.0,2.0,97,18,24,9,0.7777777777777778,0.2222222222222222,0.0,0.7536666666666667,0.0635,62.99999999999997,4.704189491577373,6.750280111649068,persistent_isolation_absorbing
0.1,4.0,3.0,97,20,23,9,0.5555555555555556,0.4444444444444444,0.0,0.7475,0.06466666666666666,62.99999999999998,4.7702343791591,9.410734971060368,persistent_isolation_absorbing
0.1,5.0,1.0,98,10,32,7,0.8571428571428571,0.14285714285714285,0.0,0.7036666666666667,0.07366666666666667,48.99999999999996,6.606818685580099,1.4913952094029,persistent_isolation_absorbing
0.1,5.0,2.0,96,15,28,6,1.0,0.0,0.0,0.734,0.055,41.99999999999998,5.523890044699623,0.14877857243309917,persistent_isolation_absorbing
0.1,5.0,3.0,95,17,25,9,0.6666666666666666,0.3333333333333333,0.0,0.7306666666666667,0.06166666666666667,63.0,7.468477587392286,8.892966405032817,persistent_isolation_absorbing
0.2,3.0,1.0,101,16,26,3,0.3333333333333333,0.6666666666666666,0.0,0.7093333333333334,0.06283333333333334,21.00000000000001,1.664302012124489,7.195394949186757,reversible_or_mixed
0.2,3.0,2.0,98,18,23,6,0.8333333333333334,0.16666666666666666,0.0,0.8131666666666667,0.043333333333333335,42.000000000000036,2.5187715925273606,7.252031961868419,persistent_isolation_absorbing
0.2,3.0,3.0,96,20,23,6,0.3333333333333333,0.6666666666666666,0.0,0.7791666666666667,0.03883333333333333,41.99999999999995,2.4798693986059788,1.8809716379520396,reversible_or_mixed
0.2,4.0,1.0,99,13,29,5,0.6,0.4,0.0,0.7178333333333333,0.06666666666666667,35.00000000000001,3.3051611900207654,0.3328718803516596,persistent_isolation_absorbing
0.2,4.0,2.0,97,21,21,9,0.7777777777777778,0.2222222222222222,0.0,0.7663333333333333,0.04666666666666667,63.00000000000002,5.807019974576367,10.598847531197052,persistent_isolation_absorbing
0.2,4.0,3.0,96,22,20,8,0.75,0.25,0.0,0.7486666666666667,0.04816666666666667,55.99999999999998,4.856255154694011,4.2075412042746105,persistent_isolation_absorbing
0.2,5.0,1.0,98,8,35,7,0.7142857142857143,0.2857142857142857,0.0,0.7039199332777314,0.06755629691409508,49.0,8.063922735042993,3.3933066024510232,persistent_isolation_absorbing
0.2,5.0,2.0,96,10,32,10,0.6,0.4,0.0,0.7358333333333333,0.04683333333333333,69.99999999999996,9.917715511049947,13.815068972553918,persistent_isolation_absorbing
0.2,5.0,3.0,94,17,25,15,0.6666666666666666,0.3333333333333333,0.0,0.7596666666666667,0.0445,104.99999999999996,12.545511203818618,12.585091223178017,persistent_isolation_absorbing
