cell_FR,cell_MB,cell_PD,opponent_archetype_name,candidate_variant_id,candidate_probe_scale,delta_precontact_ar_p90_A,delta_precontact_wedge_p10_A,delta_precontact_persistent_outlier_p90,delta_precontact_max_persistence_max,delta_precontact_split_p90_A,delta_first_contact_tick,delta_tactical_cut_tick_T,delta_tactical_pocket_tick_T,abs_delta_first_contact_tick,abs_delta_tactical_cut_tick_T,abs_delta_tactical_pocket_tick_T,delta_precontact_ar_p90_gap_AB,delta_precontact_wedge_p10_gap_AB,delta_precontact_ar_jitter_A,delta_precontact_wedge_jitter_A,delta_precontact_split_jitter_A
8,2,5,bittenfeld,probe_0.40,0.4,-0.027966966752806854,0.4534747678680393,-1.0,-39.0,-0.023985181945389344,5.0,-10.0,-6.0,5.0,10.0,6.0,-0.20842735438422433,0.08214250590114847,-0.012712475495207409,-0.0027791907751969352,-0.00042685423766444927
8,2,5,bittenfeld,probe_0.60,0.6,-0.13508398612163663,0.16693903455291625,-1.0,-39.0,-0.010188601246843065,3.0,-166.0,-6.0,3.0,166.0,6.0,-0.19457367943524528,-0.1617056053523196,-0.008773044372338678,-0.0017202076020287754,-0.0003258002073921987
8,2,5,bittenfeld,probe_0.80,0.8,-0.2160266218471294,0.0631339261773276,-1.0,-39.0,-0.004799619414407985,1.0,-168.0,36.0,1.0,168.0,36.0,-0.18973307363868352,-0.06285539382978633,-0.0031040259230408727,-0.0008168861901413638,-0.00015179398995306993
8,2,5,bittenfeld,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,5,kircheis,probe_0.40,0.4,-0.021103137530624316,0.47733450476715666,-4.0,-46.0,-0.03354955722171127,5.0,237.0,12.0,5.0,237.0,12.0,-0.024878496546277606,0.11729604792718451,-0.012647842284121536,-0.0036201789989883104,-0.0024157404096779565
8,2,5,kircheis,probe_0.60,0.6,-0.12485598606564619,0.16219860434602063,-4.0,-46.0,-0.022282286026198417,3.0,3.0,-50.0,3.0,3.0,50.0,-0.07159947904371755,-0.16494192917347827,-0.007995875592571498,0.0012715124035387326,-0.0012630712241864794
8,2,5,kircheis,probe_0.80,0.8,-0.20070565617882052,0.07251044155858477,-4.0,-28.0,-0.0192716603659151,1.0,1.0,26.0,1.0,1.0,26.0,-0.0746808809767201,-0.0799605562076191,-0.00300268140260658,-0.002683798851853998,-0.0013400189654382095
8,2,5,kircheis,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,5,mittermeyer,probe_0.40,0.4,0.12482460553497043,0.4574153189950577,0.0,-18.0,-0.019808189157282552,4.0,61.0,-74.0,4.0,61.0,74.0,0.005376240648696129,0.09596431617880352,-0.010640415295007725,-0.007757380459887072,-0.0012482098522297537
8,2,5,mittermeyer,probe_0.60,0.6,0.029734410994480154,0.1604790852926452,0.0,-18.0,-0.004614744053584197,2.0,2.0,-75.0,2.0,2.0,75.0,0.03770291279652804,-0.16979326138974637,-0.006880675402251842,-0.00464961747103591,-9.026370243223319e-06
8,2,5,mittermeyer,probe_0.80,0.8,-0.04698235078856028,0.08466042040397126,0.0,-18.0,-0.01036040401125038,1.0,34.0,-38.0,1.0,34.0,38.0,0.1152266585775461,-0.12080885134663844,-0.003324004202991466,-0.002213134968755269,-0.00018060870337312197
8,2,5,mittermeyer,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,5,muller,probe_0.40,0.4,0.010521887711229194,0.4664810667258943,-5.0,-55.0,-0.024774926270289432,4.0,212.0,-53.0,4.0,212.0,53.0,-0.1396774565842418,0.0927786865762209,-0.012450781127974583,-0.008065027160627252,-0.0013499802550529581
8,2,5,muller,probe_0.60,0.6,-0.08674840377959203,0.16729901094564836,-5.0,-55.0,-0.004093328874878344,2.0,2.0,-6.0,2.0,2.0,6.0,-0.1407071408270406,-0.1445269072720945,-0.007406734954907585,-0.0027820636900338057,-0.00019040958894156901
8,2,5,muller,probe_0.80,0.8,-0.16859973972721343,0.017038359811400228,-5.0,-27.0,-0.016090499761345578,0.0,0.0,-17.0,0.0,0.0,17.0,-0.10263537975780124,-0.004067172411446829,-0.002462411117778014,-0.0023655547038422993,-7.610295325602423e-05
8,2,5,muller,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,5,reinhard,probe_0.40,0.4,-0.018468355261704428,0.48754407876655936,-1.0,-36.0,-0.022097498625455847,5.0,103.0,-133.0,5.0,103.0,133.0,-0.1645021617147826,0.10277224068898738,-0.012371619669312951,-0.0038185333979995108,-0.00020980101262074204
8,2,5,reinhard,probe_0.60,0.6,-0.11199910858834539,0.17843430296037466,-1.0,-36.0,-0.011186717877070818,3.0,3.0,-97.0,3.0,3.0,97.0,-0.14810341056106857,-0.17222620489986573,-0.008149608351417417,-0.0033251510623994347,-0.00022960138807092117
8,2,5,reinhard,probe_0.80,0.8,-0.19215779110272435,0.09205559522275764,-1.0,-36.0,-0.0013556100525915493,2.0,2.0,-107.0,2.0,2.0,107.0,-0.10499559684509552,-0.09168522424682801,-0.004394051580914517,-0.003153982674567731,-0.0002452778074677024
8,2,5,reinhard,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,5,reuenthal,probe_0.40,0.4,0.17071640770394025,0.4254041235335584,0.0,-13.0,-0.014120908896075646,4.0,34.0,1.0,4.0,34.0,1.0,-0.13470624810707643,0.14472150510488546,-0.009858323307615954,-0.002478274397022277,-0.001619217250655877
8,2,5,reuenthal,probe_0.60,0.6,0.08645686151941745,0.11233126096811274,0.0,-13.0,-0.016416866594353152,3.0,-2.0,1.0,3.0,2.0,1.0,-0.06194876783520864,-0.07427076128233112,-0.007126119028030436,-0.000736765637567742,-0.0004341186095072401
8,2,5,reuenthal,probe_0.80,0.8,0.01724053864389341,0.09364943316746577,0.0,-13.0,0.003482432132217328,2.0,0.0,65.0,2.0,0.0,65.0,0.0022232004910265335,-0.06441299459118244,-0.0027644747385202825,-0.003905604822088349,-0.0004550495246981069
8,2,5,reuenthal,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5,5,bittenfeld,probe_0.40,0.4,-0.08239725426756905,0.4141044960822309,-3.0,-42.0,-0.0313506467839777,5.0,127.0,43.0,5.0,127.0,43.0,-0.26453632701566954,0.03269632689786972,-0.013761546047999767,-0.005851541644590761,-0.0062558896606038986
8,5,5,bittenfeld,probe_0.60,0.6,-0.2001151685010072,0.2081755224501829,-3.0,-42.0,-0.020199345082178688,2.0,2.0,134.0,2.0,2.0,134.0,-0.23052459052439933,-0.19241795773399495,-0.009416176983195154,-0.0026315260104794354,-0.005769218161362713
8,5,5,bittenfeld,probe_0.80,0.8,-0.2776868830318684,0.09204419802887309,-3.0,-20.0,-0.0016271997537988803,1.0,1.0,-54.0,1.0,1.0,54.0,-0.23656811895813878,-0.07462004657899446,-0.0032949517169941975,-0.0014381212405223005,-0.0035137213263138987
8,5,5,bittenfeld,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5,5,kircheis,probe_0.40,0.4,-0.0966155146395864,0.4558574872202861,-5.1000000000000085,-50.0,-0.016313305287795732,5.0,82.0,-48.0,5.0,82.0,48.0,-0.1390544714728157,0.027716936798479752,-0.013022042379703462,-0.005774949195401009,-0.0021049277020485594
8,5,5,kircheis,probe_0.60,0.6,-0.20705146008102115,0.1823508146454812,-5.1000000000000085,-50.0,0.005934063315165439,3.0,-166.0,26.0,3.0,166.0,26.0,-0.1703383947736894,-0.17438653699244455,-0.008327877460096219,-0.005237690389180642,-0.0013727778173932125
8,5,5,kircheis,probe_0.80,0.8,-0.19469705517600744,0.10083414429592885,-5.1000000000000085,-26.0,-0.0057034172739511835,2.0,-167.0,-65.0,2.0,167.0,65.0,-0.08416669336699956,-0.09954646596940397,-0.0023415408070162833,-0.007100881693376054,-0.0012806410105383184
8,5,5,kircheis,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5,5,mittermeyer,probe_0.40,0.4,0.1032687777247463,0.4146758082066624,0.0,-27.0,-0.02496748017122341,4.0,48.0,-30.0,4.0,48.0,30.0,0.025460864641600356,0.0290516799695697,-0.010662601885665436,0.00041175812591392677,-0.001916079973577024
8,5,5,mittermeyer,probe_0.60,0.6,-0.011855677792532049,0.15744508554203307,0.0,-27.0,-0.025577590770341496,2.0,18.0,-29.0,2.0,18.0,29.0,0.08267589708426959,-0.1293949392129804,-0.007449463968923695,0.0027660618813945166,-0.001324144357234473
8,5,5,mittermeyer,probe_0.80,0.8,-0.08749124555800791,0.17627788532478628,0.0,-21.0,-0.0058984447714915955,1.0,34.0,-24.0,1.0,34.0,24.0,0.1239249348787761,-0.12053890364404274,-0.002636364508692729,0.0042355710598004845,-0.0005651820404987342
8,5,5,mittermeyer,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5,5,muller,probe_0.40,0.4,-0.05546850213194077,0.4801051086388899,-7.0,-56.0,-0.03291618073484592,5.0,156.0,-57.0,5.0,156.0,57.0,-0.081280968343874,-0.015211647071108225,-0.011845617177080603,-0.006278807070325529,-0.0018456330923219944
8,5,5,muller,probe_0.60,0.6,-0.16448300700592178,0.24311067541791742,-7.0,-56.0,-0.027085184208401225,2.0,2.0,-9.0,2.0,2.0,9.0,-0.09608566561764098,-0.2368445822429821,-0.006428314794910114,-0.00539832900806363,-0.001741693269626426
8,5,5,muller,probe_0.80,0.8,-0.19019329975271115,0.10319929288661,-5.0,-25.0,-0.02013826879429126,1.0,129.0,-8.0,1.0,129.0,8.0,-0.0469003314692118,-0.09312105906764545,-0.0016527597874554482,0.0003978109276671603,-0.0009915136348685118
8,5,5,muller,probe_1.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
